station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,add,lon,lat,open_ymd,close_ymd,e_status,e_sort
1110604,1110604,MOSHIRI,,,11106,1,hokkaido akabira-shi,142.082156,43.537314,,,0,1110604
1110605,1110605,HIRAGISHI,,,11106,1,hokkaido akabira-shi hiragishi nakamachi,142.123872,43.541401,,,0,1110605
1110606,1110606,ASHIBETSU,,,11106,1,hokkaido ashibetsu-shi honcho,142.184543,43.516636,,,0,1110606
1110607,1110607,KAMIASHIBETSU,,,11106,1,hokkaido ashibetsu-shi kamiashibetsucho,142.210855,43.48871,,,0,1110607
1110608,1110608,NOKANAN,,,11106,1,hokkaido ashibetsu-shi nokanancho,142.261772,43.474418,,,0,1110608
1110609,1110609,SHIMANOSHITA,,,11106,1,hokkaido furano-shi shimanoshita,142.350406,43.3744,,,0,1110609
1110610,1110610,FURANO,,,11106,1,hokkaido furano-shi hinodemachi,142.391374,43.347114,,,0,1110610
1110611,1110611,NUNOBU,,,11106,1,hokkaido furano-shi nunobe shigaichi,142.400595,43.291991,,,0,1110611
1110612,1110612,YAMABE,,,11106,1,hokkaido furano-shi ,142.381522,43.244645,,,0,1110612
1110613,1110613,SHITAKANAYAMA,,,11106,1,hokkaido minamifurano-cho sorachi-gun shimokanayama,142.415402,43.197328,,,0,1110613
1110614,1110614,KANAYAMA,,,11106,1,hokkaido minamifurano-cho sorachi-gun kanayama,142.416201,43.136115,,,0,1110614
1110615,1110615,HIGASHISHIKAGOE,,,11106,1,hokkaido minamifurano-cho sorachi-gun higashishikagoe,142.523472,43.164011,,,0,1110615
1110616,1110616,IKUTORA,,,11106,1,hokkaido minamifurano-cho sorachi-gun ikutora,142.569474,43.161582,,,0,1110616
1110617,1110617,OCHIAI,,,11106,1,hokkaido minamifurano-cho sorachi-gun ochiai,142.669104,43.125055,,,0,1110617
1110618,1110618,SHINTOKU,,,11106,1,hokkaido shintoku-cho kamikawa-gun hondorikita,142.832432,43.082501,,,0,1110618
1110701,1110618,SHINTOKU,,,11107,1,hokkaido shintoku-cho kamikawa-gun hondorikita,142.832432,43.082501,,,0,1110701
1110702,1110702,TOKACHISHIMIZU,,,11107,1,hokkaido shimizu-cho kamikawa-gun hondori,142.879535,43.012892,,,0,1110702
1110703,1110703,HAOBI,,,11107,1,hokkaido shimizu-cho kamikawa-gun haobi,142.906646,42.957499,,,0,1110703
1110704,1110704,MIKAGE,,,11107,1,hokkaido shimizu-cho kamikawa-gun mikagehondori,142.935739,42.942418,,,0,1110704
1110705,1110705,MEMURO,,,11107,1,hokkaido memuro-cho kasai-gun hondori,143.047991,42.909846,,,0,1110705
1110706,1110706,TAISEI,,,11107,1,hokkaido memuro-cho kasai-gun higashimemurominami,143.071241,42.918662,,,0,1110706
1110707,1110707,NISHIOBIHIRO,,,11107,1,hokkaido obihiro-shi nishi23-jominami,143.126351,42.923941,,,0,1110707
1110708,1110708,HAKURINDAI,,,11107,1,hokkaido obihiro-shi nishi17-jominami,143.1645,42.928877,,,0,1110708
1110709,1110709,OBIHIRO,,,11107,1,hokkaido obihiro-shi nishi2-jominami,143.20195,42.917997,,,0,1110709
1110710,1110710,SATSUNAI,,,11107,1,hokkaido makubetsu-cho nakagawa-gun satsunaichuomachi,143.256248,42.912697,,,0,1110710
1110711,1110711,INASHIBETSU,,,11107,1,hokkaido makubetsu-cho nakagawa-gun inashibetsu,143.297528,42.903963,,,0,1110711
1110712,1110712,MAKUBETSU,,,11107,1,hokkaido makubetsu-cho nakagawa-gun nishikimachi,143.359293,42.90784,,,0,1110712
1110713,1110713,TOSHIBETSU,,,11107,1,hokkaido ikeda-cho nakagawa-gun toshibetsunishimachi,143.424445,42.934706,,,0,1110713
1110714,1110714,IKEDA,,,11107,1,hokkaido ikeda-cho nakagawa-gun higashi1-jo,143.453033,42.922186,,,0,1110714
1110715,1110715,TOFUTSU,,,11107,1,hokkaido toyokoro-cho nakagawa-gun tofutsu takaramachi,143.500797,42.855781,,,0,1110715
1110716,1110716,TOYOKORO,,,11107,1,hokkaido toyokoro-cho nakagawa-gun toyokoro asahimachi,143.538615,42.817548,,,0,1110716
1110717,1110717,SHINYOSHINO,,,11107,1,hokkaido urahoro-cho tokachi-gun yoshino,143.60826,42.778238,,,0,1110717
1110718,1110718,URAHORO,,,11107,1,hokkaido urahoro-cho tokachi-gun honcho,143.651568,42.810849,,,0,1110718
1110719,1110719,KAMIATSUNAI,,,11107,1,hokkaido urahoro-cho tokachi-gun kamiatsunai,143.749788,42.831881,,,0,1110719
1110720,1110720,ATSUNAI,,,11107,1,hokkaido urahoro-cho tokachi-gun atsunai,143.814389,42.809539,,,0,1110720
1110721,1110721,CHOKUBETSU,,,11107,1,hokkaido kushiro-shi ombetsucho chokubetsu,143.863607,42.852205,,,0,1110721
1110722,1110722,SHAKUBETSU,,,11107,1,hokkaido kushiro-shi ombetsucho shakubetsu,143.904331,42.869163,,,0,1110722
1110723,1110723,OMBETSU,,,11107,1,hokkaido kushiro-shi ombetsucho motomachi,143.932442,42.888997,,,0,1110723
1110724,1110724,FURUSE,,,11107,1,hokkaido shiranuka-cho shiranuka-gun kyosei,144.008589,42.947893,,,0,1110724
1110725,1110725,SHIRANUKA,,,11107,1,hokkaido shiranuka-cho shiranuka-gun higashi1-jominami,144.076879,42.956161,,,0,1110725
1110726,1110726,NISHISHORO,,,11107,1,hokkaido shiranuka-cho shiranuka-gun nishishoro nishi1-jominami,144.129826,42.976138,,,0,1110726
1110727,1110727,SHORO,,,11107,1,hokkaido shiranuka-cho shiranuka-gun shoro koku,144.150018,42.983601,,,0,1110727
1110728,1110728,OTANOSHIKE,,,11107,1,hokkaido kushiro-shi otanoshike,144.273879,43.009078,,,0,1110728
1110729,1110729,SHINOTANOSHIKE,,,11107,1,hokkaido kushiro-shi otanoshike,144.295558,43.009423,,,0,1110729
1110730,1110730,SHINFUJI,,,11107,1,hokkaido kushiro-shi shinfujicho,144.350758,43.001605,,,0,1110730
1110731,1110731,KUSHIRO,,,11107,1,hokkaido kushiro-shi kitaodori,144.381983,42.990584,,,0,1110731
1110801,1110731,KUSHIRO,,,11108,1,hokkaido kushiro-shi kitaodori,144.381983,42.990584,,,0,1110801
1110802,1110802,HIGASHIKUSHIRO,,,11108,1,hokkaido kushiro-shi kaizuka,144.411307,42.995207,,,0,1110802
1110803,1110803,MUSA,,,11108,1,hokkaido kushiro-shi musa,144.426681,42.991364,,,0,1110803
1110804,1110804,BEPPO,,,11108,1,hokkaido kushiro-cho kushiro-gun betsuho,144.469596,42.994384,,,0,1110804
1110805,1110805,KAMIOBORO,,,11108,1,hokkaido akkeshi-cho akkeshi-gun kamioboro,144.61239,43.032893,,,0,1110805
1110806,1110806,OBORO,,,11108,1,hokkaido akkeshi-cho akkeshi-gun tomata,144.703758,43.018463,,,0,1110806
1110807,1110807,MONSHIZU,,,11108,1,hokkaido akkeshi-cho akkeshi-gun monshizu,144.782638,43.057581,,,0,1110807
1110808,1110808,AKKESHI,,,11108,1,hokkaido akkeshi-cho akkeshi-gun miyazono,144.841355,43.056248,,,0,1110808
1110809,1110809,ITOIZAWA,,,11108,1,hokkaido akkeshi-cho akkeshi-gun itoizawa,144.92545,43.103506,,,0,1110809
1110810,1110810,CHANAI,,,11108,1,hokkaido hamanaka-cho akkeshi-gun,145.02801,43.129266,,,0,1110810
1110811,1110811,HAMANAKA,,,11108,1,hokkaido hamanaka-cho akkeshi-gun,145.099657,43.15754,,,0,1110811
